,Unnamed: 0,rank,City,Country,Population,Prev,Growth,Area,GDP,Traffic_Index,CO2_Emission_Index,Temp_Jan,Temp_Feb,Temp_Mar,Temp_Apr,Temp_May,Temp_Jun,Temp_Jul,Temp_Aug,Temp_Sep,Temp_Oct,Temp_Nov,Temp_Dec,Temp_Avg,AQI_Avg,O3_Avg,SO2_Avg,PM2.5_Avg,PM10_Avg,CO_Avg,NO2_Avg,NO_Avg,NOX_Avg,C6H6_Avg,NMHC_Avg,GDP_Per_Capita,AQI_Max,AQI_Min,dominant_pollutant
26,26,27,Bogota,Colombia,11167392,10978360,0.0172,1.775,,198.24,4608.85,13.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,49.602409638554214,14.150602409638553,0.40963855421686746,12.981927710843374,28.295180722891565,346.59638554216866,22.867469879518072,15.698795180722891,37.174698795180724,0.0,0.0,6881.97,92.0,21.0,PM2.5
27,27,28,Paris,France,11078546,11017230,0.0056,105.4,849.0,125.7,3189.0,4.0,5.0,8.0,12.0,14.0,17.0,20.0,19.0,16.0,12.0,8.0,5.0,12.0,60.736196319018404,18.036585365853657,0.5365853658536586,16.853658536585368,32.176829268292686,284.1646341463415,30.640243902439025,13.524390243902438,18.335365853658537,0.0,0.0,43958.7034,89.0,46.0,PM2.5
28,28,29,Jakarta,Indonesia,10915364,10770487,0.0135,661.5,200.9,195.5,7119.87,28.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,29.0,28.0,29.0,83.83132530120481,22.650602409638555,6.674698795180723,27.83132530120482,62.855421686746986,1682.9578313253012,48.10843373493976,0.42168674698795183,0.4879518072289157,0.0,0.0,4374.1938,168.0,41.0,PM2.5
29,29,30,Lima,Peru,10882757,10719188,0.0153,2.672,,216.44,5656.48,23.0,24.0,23.0,21.0,20.0,18.0,17.0,17.0,17.0,18.0,19.0,21.0,20.0,74.90963855421687,14.524096385542169,0.28313253012048195,23.52409638554217,30.39156626506024,519.3614457831326,15.542168674698795,0.0,0.0,0.0,0.0,7319.1625,117.0,54.0,PM2.5
30,30,31,Bangkok,Thailand,10722815,10539415,0.0174,1.569,147.97,178.84,7162.56,28.0,30.0,31.0,32.0,31.0,30.0,30.0,30.0,29.0,29.0,29.0,28.0,30.0,134.68072289156626,31.174698795180724,3.210843373493976,50.325301204819276,90.22289156626506,993.5542168674699,45.975903614457835,0.0,0.0,0.0,0.0,7825.9378,162.0,66.0,PM2.5
31,31,32,Hyderabad,India,10268653,10004144,0.0264,650,75.2,205.21,6005.35,17.0,21.0,26.0,31.0,34.0,34.0,32.0,31.0,31.0,30.0,25.0,19.0,28.0,145.25301204819277,10.608433734939759,1.8855421686746987,60.83734939759036,153.25301204819277,763.6084337349398,37.234939759036145,5.9156626506024095,19.35542168674699,3.6144578313253013,0.0,2337.9495,181.0,89.0,PM2.5
32,32,33,Seoul,South Korea,9967677,9963452,0.0004,605.2,915.0,146.1,2766.2,-3.0,0.0,5.0,11.0,17.0,22.0,25.0,26.0,21.0,15.0,7.0,0.0,12.0,81.3433734939759,11.951807228915662,3.8072289156626504,26.72289156626506,42.69277108433735,830.7289156626506,40.036144578313255,0.060240963855421686,0.15060240963855423,0.018072289156626505,0.0,33999.6818,154.0,52.0,PM2.5
33,33,34,Nagoya,Japan,9565642,9552132,0.0014,326.4,368.0,134.01,1752.17,5.0,6.0,9.0,15.0,19.0,23.0,27.0,28.0,25.0,19.0,13.0,7.0,16.0,63.95180722891566,14.698795180722891,1.5481927710843373,18.716867469879517,44.397590361445786,321.4156626506024,48.78915662650602,9.487951807228916,28.06024096385542,0.0,208.73493975903614,43596.8659,95.0,16.0,PM2.5
34,34,35,London,United Kingdom,9425622,9304016,0.0131,1.572,18.48,132.6,4065.52,6.0,6.0,8.0,11.0,14.0,17.0,19.0,18.0,16.0,13.0,9.0,6.0,12.0,32.19277108433735,17.14457831325301,1.8313253012048192,7.620481927710843,16.602409638554217,1113.0602409638554,19.740963855421686,4.602409638554217,16.746987951807228,0.0,3.6204819277108435,42914.5839,89.0,2.0,PM2.5
35,35,36,Chengdu,China,9305116,9135768,0.0185,14.378,273.8,154.61,3442.37,6.0,9.0,13.0,18.0,22.0,25.0,26.0,26.0,23.0,18.0,13.0,8.0,17.0,138.06024096385542,9.180722891566266,2.7289156626506026,63.6144578313253,101.24096385542168,853.6385542168674,30.801204819277107,0.0,0.0,0.0,0.0,10710.3777,220.0,92.0,PM2.5
36,36,37,Tehran,Iran,9259009,9134708,0.0136,730,,215.39,7161.07,5.0,7.0,11.0,17.0,23.0,28.0,31.0,30.0,26.0,20.0,12.0,7.0,18.0,115.4,6.6,2.2,40.8,66.0,758.4,28.4,0.0,0.0,0.0,0.0,5829.7217,,,PM2.5
37,37,38,Nanjing,China,9143980,8847372,0.0335,6.596,214.7,154.61,3442.37,3.0,5.0,10.0,16.0,21.0,25.0,29.0,28.0,24.0,18.0,11.0,5.0,16.0,154.1341463414634,23.597560975609756,2.652439024390244,69.14634146341463,147.73170731707316,777.0670731707318,60.59146341463415,0.0,0.0,0.0,0.0,10710.3777,191.0,110.0,PM2.5
38,38,39,Ho Chi Minh City,Vietnam,8837544,8602317,0.0273,2.061,83.16,109.53,3536.19,27.0,28.0,29.0,30.0,30.0,29.0,28.0,28.0,28.0,28.0,28.0,27.0,28.0,130.21686746987953,26.012048192771083,5.283132530120482,49.55421686746988,71.24096385542168,781.722891566265,59.54216867469879,0.0,0.0,0.0,0.0,2876.3915,174.0,84.0,PM2.5
39,39,40,Luanda,Angola,8631876,8329798,0.0363,113,,,,27.0,27.0,28.0,28.0,27.0,23.0,22.0,22.0,23.0,25.0,27.0,27.0,25.0,134.0,43.833333333333336,4.833333333333333,54.166666666666664,61.833333333333336,639.3333333333334,55.0,0.0,0.0,0.0,0.0,2841.6075,,,PM2.5
40,40,41,Wuhan,China,8473405,8364977,0.013,8.494,240.0,154.61,3442.37,4.0,7.0,11.0,18.0,23.0,26.0,29.0,29.0,24.0,19.0,12.0,7.0,17.0,178.16463414634146,19.646341463414632,4.134146341463414,103.10365853658537,154.85365853658536,1012.8658536585366,63.30487804878049,0.0,0.0,0.0,0.0,10710.3777,310.0,134.0,PM2.5
41,41,42,Xi-an Shaanxi,China,8274651,8000965,0.0342,10.097,,154.61,3442.37,0.0,4.0,9.0,15.0,20.0,25.0,27.0,25.0,21.0,15.0,7.0,2.0,14.0,156.09036144578315,14.55421686746988,4.566265060240964,74.66265060240964,161.13855421686748,655.1506024096385,23.367469879518072,37.036144578313255,29.650602409638555,12.060240963855422,0.0,10710.3777,324.0,71.0,PM2.5
42,42,43,Ahmedabad,India,8253226,8059441,0.024,464,59.0,205.21,6005.35,,,,,,,,,,,,,,158.45454545454547,13.096969696969698,10.212121212121213,74.47272727272727,175.7030303030303,874.030303030303,42.36969696969697,25.836363636363636,22.64848484848485,3.3393939393939394,0.0,2337.9495,221.0,91.0,PM2.5
43,43,44,New York City,United States,8230290,8283550,-0.0064,783.8,,151.34,7301.07,1.0,2.0,6.0,12.0,17.0,22.0,25.0,24.0,20.0,14.0,9.0,4.0,13.0,66.82926829268293,14.189024390243903,1.548780487804878,21.865853658536587,56.27439024390244,478.5548780487805,27.890243902439025,21.25609756097561,41.36585365853659,0.7987804878048781,0.0,66678.0263,192.0,26.0,PM2.5
44,44,45,Kuala Lumpur,Malaysia,8210745,7996830,0.0267,243,59.831,169.71,7772.73,,,,,,,,,,,,,,116.57926829268293,35.9390243902439,5.780487804878049,40.53658536585366,84.73780487804878,1727.9268292682927,59.823170731707314,1.7378048780487805,3.3048780487804876,0.3231707317073171,0.0,12264.5418,192.0,38.0,PM2.5
45,45,46,Hangzhou,China,7845501,7642147,0.0266,16.847,204.15,154.61,3442.37,5.0,7.0,11.0,17.0,22.0,25.0,30.0,29.0,24.0,19.0,13.0,7.0,17.0,114.82530120481928,16.69277108433735,2.86144578313253,43.28915662650602,96.30722891566265,999.1265060240963,39.12048192771084,0.4578313253012048,0.6927710843373494,0.0963855421686747,0.0,10710.3777,181.0,38.0,PM2.5
46,46,47,Hong Kong,Hong Kong,7598189,7547652,0.0067,1.106,341.319,145.69,1641.8,,,,,,,,,,,,,,76.14110429447852,28.84049079754601,2.736196319018405,24.392638036809817,45.54601226993865,566.4294478527607,32.85889570552147,0.31901840490797545,0.22085889570552147,0.07975460122699386,0.0,53229.7251,178.0,41.0,PM2.5
47,47,48,Surat,India,7489742,7184590,0.0425,474.2,59.8,205.21,6005.35,20.0,23.0,28.0,32.0,35.0,33.0,30.0,29.0,30.0,29.0,25.0,22.0,28.0,184.1939393939394,15.157575757575758,41.551515151515154,122.49090909090908,189.86666666666667,1470.8060606060606,29.33939393939394,6.933333333333334,19.042424242424243,7.648484848484848,0.0,2337.9495,233.0,58.0,PM2.5
48,48,49,Dongguan,China,7451889,7407852,0.0059,2.465,112.3,154.61,3442.37,,,,,,,,,,,,,,97.56626506024097,32.43975903614458,4.072289156626506,33.5,66.08433734939759,474.71084337349396,27.246987951807228,0.04819277108433735,0.14457831325301204,0.060240963855421686,0.0,10710.3777,164.0,54.0,PM2.5
49,49,50,Suzhou,China,7427096,7069992,0.0505,8.488,280.92,154.61,3442.37,5.0,7.0,10.0,16.0,21.0,25.0,29.0,29.0,25.0,20.0,14.0,7.0,17.0,73.06547619047619,37.773809523809526,0.48214285714285715,22.875,48.642857142857146,178.94642857142858,21.273809523809526,0.0,0.0,0.0,0.0,10710.3777,113.0,66.0,PM2.5
50,50,51,Foshan,China,7406751,7326852,0.0109,3.848,141.4,154.61,3442.37,14.0,16.0,19.0,23.0,27.0,29.0,30.0,30.0,28.0,25.0,21.0,16.0,23.0,108.39024390243902,27.64848484848485,3.175757575757576,38.04848484848485,86.76969696969697,594.969696969697,44.339393939393936,0.0,0.0,0.0,0.0,10710.3777,151.0,67.0,PM2.5
51,51,52,Riyadh,Saudi Arabia,7387817,7231447,0.0216,1.973,,131.58,6872.21,,,,,,,,,,,,,,147.32530120481928,9.963855421686747,29.933734939759034,60.37951807228916,125.144578313253,336.76506024096386,51.54216867469879,0.0,0.0,0.0,0.0,22355.5951,164.0,92.0,PM2.5
52,52,53,Shenyang,China,7373655,7220104,0.0213,12.942,93.9,154.61,3442.37,-11.0,-6.0,1.0,10.0,17.0,22.0,25.0,24.0,18.0,10.0,0.0,-8.0,9.0,112.2710843373494,12.060240963855422,9.632530120481928,41.74096385542169,67.4578313253012,829.6265060240963,23.89156626506024,0.0,0.0,0.0,0.0,10710.3777,165.0,35.0,PM2.5
53,53,54,Baghdad,Iraq,7323079,7144260,0.025,204.2,,,,4.0,6.0,10.0,15.0,21.0,26.0,29.0,29.0,25.0,19.0,11.0,7.0,17.0,110.56756756756756,10.81081081081081,8.621621621621621,35.5945945945946,57.054054054054056,740.7027027027027,19.324324324324323,0.0,0.0,0.0,0.0,5996.5007,164.0,43.0,PM2.5
54,54,55,Dar es Salaam,Tanzania,7046892,6701650,0.0515,1.590,10.4,,,28.0,29.0,28.0,27.0,26.0,25.0,24.0,24.0,25.0,26.0,27.0,28.0,26.0,122.5,12.75,11.75,45.5,83.5,1033.25,27.0,0.0,0.0,0.0,0.0,1055.1162,,,PM2.5
55,55,56,Santiago,Chile,6811595,6767223,0.0066,641,,131.8,3320.59,24.0,24.0,25.0,26.0,27.0,28.0,28.0,28.0,28.0,27.0,26.0,25.0,26.0,71.38323353293413,24.197604790419163,2.07185628742515,21.898203592814372,70.9880239520958,519.1137724550898,39.538922155688624,0.0,0.0,0.0,0.0,16320.7947,93.0,58.0,PM2.5
56,56,57,Pune,India,6807984,6629347,0.0269,516.2,69.0,205.21,6005.35,21.0,23.0,26.0,29.0,30.0,28.0,25.0,25.0,26.0,25.0,23.0,21.0,25.0,149.83132530120483,15.728915662650602,11.168674698795181,75.01204819277109,126.29518072289157,995.0963855421687,42.5722891566265,18.07831325301205,54.993975903614455,3.2590361445783134,0.0,2337.9495,226.0,60.0,PM2.5
57,57,58,Madrid,Spain,6668865,6617513,0.0078,604.3,290.56,106.94,3282.98,6.0,7.0,10.0,12.0,16.0,21.0,25.0,25.0,20.0,14.0,9.0,6.0,14.0,63.27710843373494,25.849397590361445,1.5542168674698795,19.00602409638554,33.5,341.7168674698795,27.548192771084338,5.0843373493975905,15.385542168674698,0.26506024096385544,0.0,32026.3789,185.0,39.0,PM2.5
58,58,59,Haerbin,China,6526439,6387195,0.0218,53.068,,154.61,3442.37,,,,,,,,,,,,,,98.34939759036145,18.662650602409638,7.030120481927711,34.01204819277108,50.28313253012048,639.0722891566265,17.542168674698797,0.07228915662650602,0.4036144578313253,0.006024096385542169,0.0,10710.3777,129.0,51.0,PM2.5
59,59,60,Toronto,Canada,6254571,6196731,0.0093,630.2,305.0,139.81,5337.14,-5.0,-5.0,0.0,7.0,14.0,19.0,22.0,21.0,17.0,10.0,4.0,-1.0,9.0,51.98192771084337,19.656626506024097,2.0120481927710845,14.325301204819278,33.825301204819276,252.9156626506024,19.50602409638554,11.728915662650602,26.16867469879518,0.012048192771084338,0.0,48137.4033,128.0,20.0,PM2.5
60,60,61,Belo Horizonte,Brazil,6139774,6084430,0.0091,330.9,54.996,175.56,5556.94,24.0,24.0,23.0,22.0,20.0,19.0,19.0,20.0,22.0,23.0,23.0,23.0,22.0,62.28915662650602,26.837349397590362,1.5662650602409638,17.746987951807228,27.89156626506024,195.63855421686748,29.3855421686747,0.0,0.0,0.0,0.0,9638.1461,85.0,47.0,PM2.5
61,61,62,Singapore,Singapore,5991801,5935053,0.0096,728.6,374.394,147.6,2459.25,28.0,28.0,29.0,29.0,29.0,29.0,28.0,28.0,28.0,29.0,28.0,28.0,28.0,70.79518072289157,35.54819277108434,6.548192771084337,21.728915662650603,49.69879518072289,244.90361445783134,37.18674698795181,0.0,0.0,0.0,0.0,66456.82,98.0,43.0,PM2.5
62,62,63,Khartoum,Sudan,5989024,5828858,0.0275,1.010,,,,24.0,26.0,29.0,33.0,35.0,35.0,33.0,32.0,33.0,33.0,29.0,25.0,31.0,70.28205128205128,16.82051282051282,3.282051282051282,11.512820512820513,24.333333333333332,124.05128205128206,18.41025641025641,0.0,0.0,0.0,0.0,1845.66,,,PM2.5
63,63,64,Johannesburg,South Africa,5926668,5782747,0.0249,1.645,76.0,191.55,9718.01,20.0,20.0,19.0,16.0,14.0,11.0,11.0,13.0,17.0,18.0,19.0,20.0,17.0,86.91515151515152,27.818181818181817,3.3212121212121213,29.206060606060607,56.2060606060606,642.0181818181818,47.14545454545455,11.151515151515152,29.44848484848485,0.1696969696969697,0.0,6440.942,136.0,56.0,PM2.5
64,64,65,Dalian,China,5775938,5617849,0.0281,13.237,109.1,154.61,3442.37,,,,,,,,,,,,,,58.345454545454544,16.6,0.8303030303030303,16.363636363636363,43.121212121212125,372.169696969697,28.181818181818183,6.315151515151515,21.993939393939392,0.0,0.0,10710.3777,89.0,25.0,PM2.5
65,65,66,Qingdao,China,5742486,5619977,0.0218,,163.5,154.61,3442.37,,,,,,,,,,,,,,,,,,,,,,,,,10710.3777,,,
66,66,67,Barcelona,Spain,5624498,5585556,0.007,101.9,173.315,106.94,3282.98,10.0,10.0,12.0,14.0,18.0,21.0,24.0,25.0,22.0,18.0,13.0,10.0,16.0,73.96987951807229,26.03614457831325,0.4397590361445783,23.253012048192772,34.295180722891565,253.34939759036143,31.72289156626506,8.879518072289157,22.012048192771083,0.9337349397590361,0.0,32026.3789,110.0,42.0,PM2.5
67,67,68,Fukuoka,Japan,5516158,5528632,-0.0023,343.4,,134.01,1752.17,6.0,7.0,10.0,15.0,20.0,23.0,28.0,28.0,25.0,19.0,14.0,8.0,17.0,67.60606060606061,21.054545454545455,1.290909090909091,20.266666666666666,47.303030303030305,794.9090909090909,49.97575757575758,12.115151515151515,31.957575757575757,0.006060606060606061,218.85454545454544,43596.8659,97.0,51.0,PM2.5
68,68,69,Ji-nan Shandong,China,5513597,5360185,0.0286,10.247,,154.61,3442.37,,,,,,,,,,,,,,146.71686746987953,15.801204819277109,6.813253012048193,71.13253012048193,123.90963855421687,884.5301204819277,46.933734939759034,0.1927710843373494,0.5662650602409639,0.0,4.921686746987952,10710.3777,221.0,61.0,PM2.5
69,69,70,Zhengzhou,China,5510341,5322696,0.0353,7.533,144.0,154.61,3442.37,1.0,4.0,10.0,16.0,22.0,26.0,28.0,26.0,21.0,17.0,9.0,3.0,15.0,166.09638554216866,13.162650602409638,4.018072289156627,85.74698795180723,150.45180722891567,482.31325301204816,44.51204819277108,0.0,0.0,0.0,0.0,10710.3777,263.0,106.0,PM2.5
